If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
"How I built an app with 500,000 users in 5 days on a $100 server",WeChat's competitor to Slack has arrived,WeChat's world,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic","Adobe, Acquia, Episerver Lead New Forrester WCM Wave",Acquia Engage Awards Finalists Announced
Beyond Progressive Web Apps Part 1,Introduction to release engineering,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Announcing .NET Core 1.0,"Autofill: What web devs should know, but don't",Anti-If: The missing patterns
"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia","No dia das mães, Avon lança campanha com mãe de jovem gay",Lilly Wachowski Makes First Public Appearance Since Coming Out as Transgender,Netflix emociona com vídeo destacando personagens LGBT,"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção"
StrictMode for Runtime Analysis on Android - Google Developers,"Fresco, sim! - Android Dev BR",Firebase Test Lab for Android,Post: Just Say mNo to Hungarian Notation,My favorite people and resources to learn Android programming from,Creating Compound Views on Android
Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!",Notes on Reactive Programming Part I: The Reactive Landscape,Building Flipkart Lite: A Progressive Web App,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
Transforming life insurance with design thinking,O tênue equilíbrio da equipe que desenha produtos digitais,Chatbots: Are they better without the chat?,Campus São Paulo: conheça a primeira turma do Programa de Residentes,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,#FinTech is all about human-centred design - Chris Skinner's blog
Código Google: Introdução da próxima geração do Google Tag Manager e do Tag Manager 360 para Mobile Apps,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl,Par de alianças impede que seu parceiro assista Netflix sem você,"Incrível, Skype se lembrou que o Linux existe!",My favorite people and resources to learn Android programming from,Firebase and Google Cloud: better together
"Pedágio das rodovias estaduais de SP sobe 9,32% na sexta-feira - O Liberal",Dicionário de Segurês,A New Number Format for Computers Could Nuke Approximation Errors for Good,Infográfico: Algoritmos para Aprendizado de Máquina,What Color is Your Function?,"contentId
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
319340024738595907    MITSUBISHI ASX 2.0 4X4 AWD 16V GASOLINA 4P AUT...
Name: title, dtype: object"
Latin America's chronic inefficiency could drive more O2O commerce growth,Five questions boards should ask about IT in a digital world,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Liberty vai adotar telemetria e baratear seguro para bons motoristas,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",Two Different Sales Motions . . . .
Introduction · Bitcoin para Programadores,7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Burger King aceita pedidos via mensagens no Facebook - Startupi,Mastering Bash and Terminal,Live asynchronously.,Build Quality In: The Key to Continuous Delivery in Kanban
Bose's New Speaker Only Costs $150 But You Have to Build It Yourself,Decentralizing IoT networks through blockchain,11 Internet of Things (IoT) Protocols You Need to Know About,Google's Cloud Machine Learning service is now in public beta,Transfer Style But Not Color,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects
Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,My favorite people and resources to learn Android programming from,Advanced Android Espresso,Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Criando ícones animados no Android
Meet Aquifer: A build system for easier Drupal development,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Dries Distributions remain a growing opportunity for Drupal - Buytaert,Dries Buytaert,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Introduction to Natural Language Processing - University of Michigan | Coursera
Cubr,Serverless Data Sync in Web Apps with Bit Torrent,"Autofill: What web devs should know, but don't","How to build a robot that ""sees"" with $100 and TensorFlow",Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,Clean Coder Blog
Google may be considering Swift for use on Android,Why porting an iOS design to Android will not work,Alecrim/AlecrimCoreData,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",What to Expect at WWDC 2016,How to Design a Walkthrough That Users Will Read
"Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss","TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Netflix emociona com vídeo destacando personagens LGBT,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,Workplace diversity in Brazil: there's still a long way to go,"No dia das mães, Avon lança campanha com mãe de jovem gay"
"No dia das mães, Avon lança campanha com mãe de jovem gay",Netflix emociona com vídeo destacando personagens LGBT,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,"No ""Altas Horas"", garoto filho de casal homoafetivo dá lição contra a homofobia","Para rebater Estatuto da Família, campanha muda significado de 'família' no Dicionário Houaiss",The Genderbread Person v3 | It's Pronounced Metrosexual
containerd - a core container runtime project for the industry - Docker Blog,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Introduction to Natural Language Processing - University of Michigan | Coursera,Java 8 Streams : 10 missing features,Meet Aquifer: A build system for easier Drupal development,Google lança experimentos com inteligência artificial | Google Discovery
Bot Engine,5 reasons your employees aren't sharing their knowledge,Running GV sprints inside corporates - learn from my mistakes - Sprint Stories,Top 10 Intranet Trends of 2016,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The new tech talent you need to succeed in digital,How to Create an Exponential Mindset,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Meet the new Brazilian consumer
The new tech talent you need to succeed in digital,The economic essentials of digital strategy,PwC faz virada digital e já fatura US$ 1 bilhão no mundo,6 exemplos de como usar computação cognitiva | EXAME.com,Liberty vai adotar telemetria e baratear seguro para bons motoristas,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento
Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,Effective learning through code workshops | Box Blog,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,The Business Case for Progressive Web Apps,Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,7 Tips to Create a Company Learning Culture like Google - Without Resources
"Netflix says Geography, Age, and Gender are ""Garbage"" for Predicting Taste",Google researchers teach AIs to see the important parts of images - and tell you about them,Using behavioral data to improve customer satisfaction,Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning"
"Por dentro do Nubank, conheça os segredos da fintech mais festejada do país","Agile is Dead, Long Live Continuous Delivery - Gradle",The brilliant mechanics of Pokémon Go,How This Former Google Engineer Is Bringing Blockchain to Banks,Effective learning through code workshops | Box Blog,Facebook is open-sourcing its AI bot-building research
Shopping em BH terá fazenda urbana de 2.700 m²,Gartner Reprint,Robô acha de almoço de 12 kg a cervejas pagas pelo cidadão,Gartner Reprint,Workplace diversity in Brazil: there's still a long way to go,Google Cloud Platform's preemptible VMs are now up to 33% cheaper
Introducing Kotlin support in Spring Framework 5.0,Combining Spring Boot and JDBI,"Kotlin in Production - What works, Whats broken",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Notes on Reactive Programming Part I: The Reactive Landscape,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways"
[Article] Poka Yoke: o que é e como implementar | Endeavor Brasil,Design Sprint: onde o design e a velocidade importam,A saga do jovem CEO da Dasa,Is FinTech Forcing Banking to a Tipping Point?,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Cinco competências comportamentais para você ser um bom líder
Why image recognition is about to transform business,The barbell effect of machine learning.,Mobile marketing statistics 2016,Google Cloud Goes to the Farm,Google acquires deep search engine Kifi to enhance its Spaces group chat app,Nespresso
Post: Just Say mNo to Hungarian Notation,The Importance of Code Reviews,Firebase Test Lab for Android,Sam Newman - Backends For Frontends,Up your app's sharing game with DirectShare - Google Developers,Pull request first - Practical Blend
The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,Confirmed: Walmart buys Jet.com for $3B in cash,Do you want Crappy Agile?
Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Google employees are adding 'Lady' to their job titles to fight sexism,O dia em que tive mais medo de estar errada.,#Sentaquelávemtextão,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?
Amazon causa polêmica com serviço que faz entregas em 1 hora em Paris,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não existe frete grátis!,From E-Commerce to Web 3.0: Let the Bots Do the Shopping,What Apple's differential privacy means for your data and the future of machine learning,Infográfico: Algoritmos para Aprendizado de Máquina
"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,An overview of web service solutions in Drupal 8,When to make a Git Commit,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Seniority
JavaScript Conquered the Web. Now It's Taking Over the Desktop,Spotify UI built with HTML / CSS - Freebiesbug,How I sped up the initial render of my Polymer app by 86%,Acesse a versão Material Design do YouTube | Google Discovery,Progressive Web App - first introduced on Google I/O | airberlin,Touch (TV Series 2012-2013)
Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,The Internet of Things is looking for its VisiCalc,Machine Learning Is Redefining The Enterprise In 2016,The barbell effect of machine learning.,"The ""Joel Test"" for Data Science",Nintendo has doubled in value since Pokémon Go's release
The rise of APIs,Two Different Sales Motions . . . .,The return of the machinery question,"No, Apple isn't the next BlackBerry - it's the next Microsoft",How bot-to-bot could soon replace APIs,7 Questions to Ask Before Your Next Digital Transformation
Google Cloud Platform sets a course for new horizons,"Google is discontinuing Google+ Hangouts On Air on September 12, pushes users to YouTube Live","Google Cloud Platform icons and sample architectural diagrams, for your designing pleasure",Nintendo has doubled in value since Pokémon Go's release,Two Different Sales Motions . . . .,Diane Greene wants to put the enterprise front and center of Google Cloud strategy
You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Advanced Android Espresso,My favorite people and resources to learn Android programming from,Angular 2 versus React: There Will Be Blood - Free Code Camp,StrictMode for Runtime Analysis on Android - Google Developers,Firebase Test Lab for Android
The Difference Between Sympathy And Empathy - Expanded Consciousness,Scrum Community - Scrum Alliance,7 Questions to Ask Before Your Next Digital Transformation,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",The return of the machinery question,Blaise Agüera y Arcas: How computers are learning to be creative
Embracing Agile,An operating model for company-wide agile development,Staying one step ahead at Pixar: An interview with Ed Catmull,Big IT Rising,Rewiring Citi for the digital age,You won't recognize the new world of digital payments without this report
Machine Learning Is No Longer Just for Experts,Google's Cloud Machine Learning service is now in public beta,Algorithms and architecture for job recommendations,How Netflix does A/B Testing - uxdesign.cc - User Experience Design,6 reasons why I like KeystoneML,Spark comparison: AWS vs. GCP
"Building A Modern, Scalable Backend: Modernizing Monolithic Applications","Zuul 2 : The Netflix Journey to Asynchronous, Non-Blocking Systems",The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,The Java 8 API Design Principles,"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Building Flipkart Lite: A Progressive Web App
8 Insanely Simple Productivity Hacks,XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,A digital crack in banking's business model,"Welcome to GoogleBank, Facebook Bank, Amazon Bank, and Apple Bank - Enrique Dans",How One Jira Ticket Made My Employer $1MM/Month: 7 Metrics that Actually Matter - JavaScript Scene,The brilliant mechanics of Pokémon Go
Can Accenture Take Over Advertising?,Meio&Mensagem,Accenture amplia atuação no Brasil,The surprising truth about which countries lead in digital,Two Different Sales Motions . . . .,The need to lead in data and analytics
Google employees are adding 'Lady' to their job titles to fight sexism,9 Non-Threatening Leadership Strategies for Women,Netflix emociona com vídeo destacando personagens LGBT,"Meet Bozoma Saint John, the Apple executive who stole the show at WWDC",#Sentaquelávemtextão,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer
Salesforce Architect Journey,Client-side ranking to more efficiently show people stories in feed,Live asynchronously.,A nova sede da LEGO na Dinamarca é toda sobre colaboração,Seniority,The Internet of Things is looking for its VisiCalc
Acquia Engage Awards Finalists Announced,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove,Who sponsors Drupal development? | Dries Buytaert,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,WeChat's world,Cross-channel user experiences with Drupal
"Enterprises fighting back, Spring Boot is the best, and other SpringOne Platform takeaways",Building Spring Cloud Microservices That Strangle Legacy Systems,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Lessons from converting an app to 100% Kotlin - Keepsafe Engineering,Building Flipkart Lite: A Progressive Web App,Introducing Kotlin support in Spring Framework 5.0
How to Get a Job at Google,Ray Kurzweil: The world isn't getting worse - our information is getting better,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",The Difference Between Sympathy And Empathy - Expanded Consciousness,Staying one step ahead at Pixar: An interview with Ed Catmull,An operating model for company-wide agile development
Sam Newman - Backends For Frontends,Post: Just Say mNo to Hungarian Notation,Firebase Test Lab for Android,Dark Scrum,The Importance of Code Reviews,Up your app's sharing game with DirectShare - Google Developers
Spring Boot 1.5.1 released,Introducing Kotlin support in Spring Framework 5.0,"Kotlin in Production - What works, Whats broken",Building Flipkart Lite: A Progressive Web App,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Serverless Architectures
Bradesco lança serviço inédito para estimular o hábito de poupar,The Future of Digital Banking is Now,Nubank e Goldman fecham parceria de R$ 200 milhões,Por que o segundo maior banco da Alemanha decidiu entrar no Brasil com R$ 240 milhões?,Using Honcho to Create a Multi-Process Docker Container,DevOps requer profundas mudanças operacionais que o CIO precisa promover - CIO
The Ultimate Solution to Versioning REST APIs: Content Negotiation,bliki: StranglerApplication,Modelando APIs REST com Swagger,Xamarin for Everyone,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",The hardest thing in computer science
Mulheres são mais criativas que homens?,De piada sobre TPM a servir cafezinho: como lidar com machismo no trabalho?,A importância dos filmes de mulherzinha - Capitolina,Empresa britânica adota licença remunerada no período menstrual,Susan Wojcicki on the Effectiveness of Empowering Ads on YouTube,Google employees are adding 'Lady' to their job titles to fight sexism
7 Questions to Ask Before Your Next Digital Transformation,The return of the machinery question,Two Different Sales Motions . . . .,An operating model for company-wide agile development,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Amazon open-sources its own deep learning software, DSSTNE"
ITA está oferecendo 10 cursos gratuitos a distância - Engenharia é:,Sua comunidade de Teste.,Como Usar o Git e o GitHub,Top 5 Android Testing Frameworks with Examples,Dicas avançadas de ruby (capybara/cucumber),"Espresso Intents: não é magia, é tecnologia! - Android Dev BR"
"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)",Building more accessible technology,Making open source data more available,Designing smart notifications,"Secret's founder returns with Bold, a Medium for enterprise",The AI business landscape
Cade autoriza Itaú Unibanco e Mastercard a criarem nova bandeira de cartão,Mobile banking conquista o coração dos brasileiros,CMN regulamenta abertura de conta de depósito por meio eletrônico,Starbucks tem mais dinheiro do cliente em cartões do que bancos,Nubank começa a testar seu programa de fidelidade - Empresas Tech,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com
Ouça a música criada pela inteligência artificial do Google | Google Discovery,Google is quietly recording everything you say. Here's how to hear it,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Google is testing a new Material Design layout for desktop searches
Microsoft's Open Source Love Affair Reaches New Heights,It's The Future,Google's Cloud Machine Learning service is now in public beta,"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Using behavioral data to improve customer satisfaction,Scala is the new golden child
Bot Design Patterns,The next wave in software is open adoption software,Microsoft's Open Source Love Affair Reaches New Heights,Cubr,The Business Case for Progressive Web Apps,The End Of Apple Man
Elastic Stack 5.0.0 Released,Chrome OS now has Material Design for the desktop,"Microsoft lança Teams, nova plataforma de chat concorrente do Slack | MacMagazine.com.br",Closure Compiler in JavaScript,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',Java Tools and Technologies Landscape Report 2016 | zeroturnaround.com
gotwarlost/istanbul,Resenha - A Chegada,Apenas US$ 59: Nintendo anuncia o relançamento do Nintendinho com 30 jogos na memória,Creating Compound Views on Android,A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',My favorite people and resources to learn Android programming from
The hardest thing in computer science,bliki: StranglerApplication,"Building A Modern, Scalable Backend: Modernizing Monolithic Applications",The Java 8 API Design Principles,"GitHub broke my 1,000 day streak - Free Code Camp",Building Spring Cloud Microservices That Strangle Legacy Systems
Google is quietly recording everything you say. Here's how to hear it,Ouça a música criada pela inteligência artificial do Google | Google Discovery,Coca-Cola Is Paying $575 Million for Unilever's Soy Drink Business,The return of the machinery question,7 Questions to Ask Before Your Next Digital Transformation,14 Cool Drupal 8 modules for site builders | August 2016
[Tools] A Tool for tracking Kanban projects (that you can cut out and keep) - Emily Webber,"Feather: A Fast On-Disk Format for Data Frames for R and Python, powered by Apache Arrow",[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,Pesquisadores do MIT desenvolvem tecnologia que digitaliza livros fechados - Geek,Angular 2,6 reasons why I like KeystoneML
Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Aplicações da Inteligência artificial | Endeavor Brasil,Sobre o Hipsters Ponto Tech,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests,Microservices - When to React Vs. Orchestrate - Capital One DevExchange,Machine Learning and the VP Debate
"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",Chat Smarter with Allo,Google lags behind Amazon and Microsoft's cloud in one important area,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Watch Google's AI master the infamously difficult Atari game Montezuma's Revenge,Introduction to release engineering
PwC faz virada digital e já fatura US$ 1 bilhão no mundo,The economic essentials of digital strategy,The new tech talent you need to succeed in digital,Mobile Time,How to Create an Exponential Mindset,Liberty vai adotar telemetria e baratear seguro para bons motoristas
The need to lead in data and analytics,Can Accenture Take Over Advertising?,Meio&Mensagem,Accenture amplia atuação no Brasil,"Coca-Cola é 1ª da lista ""Fortune"" a repor toda a água usada | EXAME.com",7 Questions to Ask Before Your Next Digital Transformation
O chefe é gay. E daí?,YouTube chama seus criadores de conteúdo para a campanha mundial #OrgulhoDeSer,The Genderbread Person v3 | It's Pronounced Metrosexual,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Introducing Ask a Female Engineer
Cinco competências comportamentais para você ser um bom líder,How to augment your career with leadership coaching,Investimentos em coaching e mentoring aumentam nas empresas,What Science Tells Us About Leadership Potential,Como resolver conflitos no ambiente corporativo us,"Para neurociência, motivação não é fator principal em mudança de hábitos"
Serverless Data Sync in Web Apps with Bit Torrent,Kubernetes,Cubr,Eclipse Foundation Releases Neon,Beyond Progressive Web Apps Part 2: We Need to Know What's New,"Autofill: What web devs should know, but don't"
Como consumir conteúdo de qualidade em iOS - CocoaHeads BR,Código Limpo - Está na hora de deixar o GDD (Gambiarra Driven Development) para trás!,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,10 Multipurpose Material Design Themes to Make Your Projects 10 Times Better
Staying one step ahead at Pixar: An interview with Ed Catmull,An operating model for company-wide agile development,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels",Diane Greene wants to put the enterprise front and center of Google Cloud strategy,7 Questions to Ask Before Your Next Digital Transformation,Two Different Sales Motions . . . .
MOBILE TIME - Shoppings do Rio testarão solução de marketing com beacons,6 exemplos de como usar computação cognitiva | EXAME.com,Visa e Swatch lançam relógio para pagamentos contactless no Brasil - Startupi,The future of the shopping mall,Mobile Time,The new tech talent you need to succeed in digital
Text summarization with TensorFlow,AI Is Here to Help You Write Emails People Will Actually Read,The AI business landscape,5 reasons your employees aren't sharing their knowledge,Algorithms and architecture for job recommendations,Bad Writing Is Destroying Your Company's Productivity
14 Cool Drupal 8 modules for site builders | August 2016,Google is quietly recording everything you say. Here's how to hear it,Most Interesting APIs in 2016: Cognitive Computing,"Docker - Build, Ship, and Run Any App, Anywhere",Hacked Website Report - 2016/Q3,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz
"Mesmo sem apoio, Parada LGBT de Campinas arrasta multidão pelas ruas",O homofóbico dentro de cada um,12 JavaScript Hacks,"TRF mantém resolução que proíbe ""cura gay"" - Jornal Opção",Não ao preconceito! ONU celebra Dia da Visibilidade de Mulheres Lésbicas e Bissexuais,Workplace diversity in Brazil: there's still a long way to go
Tech in Brazil is booming despite the country's political troubles,"Apple File System (APFS) announced for 2017, scales 'from Apple Watch to Mac Pro' and focuses on encryption","No, Apple isn't the next BlackBerry - it's the next Microsoft",The barbell effect of machine learning.,How to Design a Walkthrough That Users Will Read,The AI business landscape
"Little girls doubt that women can be brilliant, study shows",O que é liderança? Liderança é fazer a diversidade funcionar.,Workplace diversity in Brazil: there's still a long way to go,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Para entender o Dia Internacional contra a Homofobia
Two Different Sales Motions . . . .,7 Questions to Ask Before Your Next Digital Transformation,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist,Diane Greene wants to put the enterprise front and center of Google Cloud strategy,The return of the machinery question,An operating model for company-wide agile development
Notes on Reactive Programming Part I: The Reactive Landscape,The Netflix Tech Blog: Engineering Trade-Offs and The Netflix API Re-Architecture,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog,Introducing Kotlin support in Spring Framework 5.0,Building Flipkart Lite: A Progressive Web App,"Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
"Google Slides incorpora recurso de ""perguntas e respostas"" em tempo real | Google Discovery",Google's Cloud Machine Learning service is now in public beta,Microsoft's Open Source Love Affair Reaches New Heights,Powering a more connected and collaborative enterprise,Google lança YouTube Kids no Brasil | Google Discovery,"Google launches Springboard, an AI-powered assistant for its enterprise customers"
Bradesco vai lançar novo banco digital: o Next.,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Nubank pode fechar as portas se BC confirmar mudança amanhã,Visa lança desafio para startups de tecnologia - Startupi,You won't recognize the new world of digital payments without this report,Accenture amplia atuação no Brasil
"Google anuncia Android Things, plataforma para a Internet das Coisas | Google Discovery",Liberty vai adotar telemetria e baratear seguro para bons motoristas,Novas frentes de trabalho da Alelo vão de ações de fidelidade a novos meios de pagamento,Banco desafia empreendedores e estudantes de tecnologia a buscarem inovação para processos | EXAME.com,Mobile Time,Visa lança desafio para startups de tecnologia - Startupi
"No ano em que a Apple completa 40 anos, confira a evolução do iPhone",Apple anuncia a 3ª geração da linguagem Swift para o final deste ano,Why Is Learning Drupal Hard?,Iniciando com o Docker: Criando suas próprias imagens - Tableless,Apple Releases First Preview of Swift 3.0 for Developers,"Apple's new file manager, APFS, is awesome"
Especial: O papel dos grandes provedores de TI na Rio 2016,Introducing JIRA Software for iPhone,"No Brasil, '25% dos celulares ainda são 'Burrofones'",Organizing for digital acceleration: Making a two-speed IT operating model work,Governo brasileiro cria manual para contratação de cloud,Assessing Salesforce's platform and ecosystem | ZDNet
Creating Compound Views on Android,"Fresco, sim! - Android Dev BR",StrictMode for Runtime Analysis on Android - Google Developers,"Create Intelligent, Context-Aware Apps with the Google Awareness APIs | Android Developers Blog",My favorite people and resources to learn Android programming from,VMware Cloud™ on AWS - A Closer Look - frankdenneman.nl
Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Governo define cronograma para plano nacional de Internet das Coisas,Comparing IoT Platforms: Compare 4 IoT platform for IoT projects,Nova pulseira tecnológica avisa se você já bebeu demais,Dez habilidades profissionais mais valorizadas em projetos de Internet das Coisas - CIO,NodeMCU (ESP8266) o módulo que desbanca o Arduino e facilitará a Internet das Coisas...
#iLookLikeAnEngineer: One Year Later,Promoting gender equality through emoji �� ��,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia",Pabllo Vittar reina no novo comercial da Skol para os Jogos Olímpicos,Criadas para casar,Empresa britânica adota licença remunerada no período menstrual
Criando ícones animados no Android,Tasting Dagger 2 on Android,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub,My favorite people and resources to learn Android programming from,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Advanced Android Espresso
Building a Team from the Inside Out: Alok Gupta on the Evolution of Data Science at Airbnb,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Cordova iOS Performance Improvements: Drop-in Speed with WKWebView,Microservices Architecture on Google App Engine,The Internet of Things is looking for its VisiCalc,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub
Why Deep Learning Is Suddenly Changing Your Life,How will bots make money? Here are 7 business models,Duolingo's chatbots help you learn a new language,This Super Accurate Portrait Selection Tech Uses Neural Networks,"Deep Learning for Chatbots, Part 2 - Implementing a Retrieval-Based Model in Tensorflow",Blaise Agüera y Arcas: How computers are learning to be creative
"Microsoft anuncia Visual Studio para Mac, disponível ainda nesta semana | MacMagazine.com.br",The Business Case for Progressive Web Apps,Effective learning through code workshops | Box Blog,1º Congresso Brasileiro de IoT - Embarcados,Burger King aceita pedidos via mensagens no Facebook - Startupi,19 Tips For Everyday Git Use
Par de alianças impede que seu parceiro assista Netflix sem você,Zuckerberg mostra em vídeo do que sua inteligência artificial 'Jarvis' é capaz,"Docker - Build, Ship, and Run Any App, Anywhere",Mary Meeker's essential 2016 Internet Trends Report,Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,Como a Microsoft está trabalhando com o conceito de IoT - Startupi
Bitbucket Pipelines Beta: continuous delivery inside Bitbucket - Bitbucket,Facebook is open-sourcing its AI bot-building research,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello"
Desenvolvimento de Aplicativos Mobile com Xamarin -,Most Interesting APIs in 2016: Cognitive Computing,Mastercard lança plataforma de APIs abertas para soluções de pagamentos - Startupi,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Beyond Progressive Web Apps Part 1
Branding é problema seu. E meu.,Sete Reinos,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,A identidade visual de Budapeste para as Olimpíadas de 2024,71 erros de português que precisam sumir dos seus e-mails,Festival de Fotografia Hercule Florence - Timeline | Facebook
